CourseTitle;PaperTitle;Year;Venue;URL
Carrier Systems;Packaging. Small load carrier systems; ; ;https://doi.org/10.3403/bsen13199
Carrier Systems;Distribution automation using distribution line carrier systems. Lower layer profiles; ; ;https://doi.org/10.3403/02551652
Carrier Systems;Distribution automation using distribution line carrier systems. Lower layer profiles; ; ;https://doi.org/10.3403/02551652
Carrier Systems;Clipping in Multi-Carrier Systems; ;Information Technology: Transmission Processing and Storage;https://doi.org/10.1007/0-387-22576-5_4
Transportation Flow Systems;Impossibility of superconductivity electric flow;2016;Transportation systems and technology;https://doi.org/10.17816/transsyst201623119-132
Transportation Flow Systems;Defining Traffic Flow Phases Using Intelligent Transportation Systems-Generated Data;2007;Journal of Intelligent Transportation Systems;https://doi.org/10.1080/15472450601122322
Transportation Flow Systems;Ponton (flow) bridges from metal polyethylene pipes;2021;Transportation Systems and Technology;https://doi.org/10.17816/transsyst20217137-45
Transportation Flow Systems;Intelligent Data-Driven Energy Flow Controllers for Renewable Energy and Electrified Transportation Systems;; ;https://doi.org/10.31390/gradschool_dissertations.5394
Urban Transportation Planning;Transportation Planning Recent Trends in Urban Transportation 236 Paying for Transportation 240 Transportation Planning and Land;2015;Contemporary Urban Planning;https://doi.org/10.4324/9781315664453-17
Urban Transportation Planning;Roots of Urban Transportation Planning;2012;Urban Transportation Planning in the United States;https://doi.org/10.1007/978-1-4614-5407-6_3
Urban Transportation Planning;Roots of Urban Transportation Planning;2016;Urban Transportation Planning in the United States;https://doi.org/10.1007/978-3-319-93975-1_3
Urban Transportation Planning;Beginnings of Urban Transportation Planning;1999;Urban Transportation Planning in the United States;https://doi.org/10.5040/9798216031154.0007
Urban Transportation Planning;Beginnings of Multimodal Urban Transportation Planning;2016;Urban Transportation Planning in the United States;https://doi.org/10.1007/978-3-319-39975-1_8
Transportation Policy and Environmental Limits;Curbside parking time limits;2013;Transportation Research Part A: Policy and Practice;https://doi.org/10.1016/j.tra.2013.07.009
Transportation Policy and Environmental Limits;Simulation-based policy analysis: The case of urban speed limits;2023;Transportation Research Part A: Policy and Practice;https://doi.org/10.1016/j.tra.2023.103754
Transportation Policy and Environmental Limits;Traffic safety: Speed limits strict liability and a km tax;2006;Transportation Research Part A: Policy and Practice;https://doi.org/10.1016/j.tra.2005.06.003
Transportation Policy and Environmental Limits;GERMAN ENVIRONMENTAL POLICY-MAKING PROCESSES;1995;Controlling Environmental Policy;https://doi.org/10.2307/j.ctt1dt00hh.9
Public Transportation Systems;Public Transportation Systems for Urban Planners and Designers: The Urban Morphology of Public Transportation Systems;2013;Urban Public Transportation Systems 2013;https://doi.org/10.1061/9780784413210.008
Public Transportation Systems;Public Transportation Systems;2022;Transportation Engineering;https://doi.org/10.1016/b978-0-323-90813-9.00007-2
Public Transportation Systems;Public Transportation Systems;2017;Transportation Engineering;https://doi.org/10.1016/b978-0-12-803818-5.00007-x
Public Transportation Systems;Urban Public Transportation Systems in Ghana;2004;Urban Public Transportation System;https://doi.org/10.1061/40717(148)1
Public Transportation Systems;Maglev trends in public transport: the perspectives of maglev transportation systems;2018;Transportation Systems and Technology;https://doi.org/10.17816/transsyst201843s15-12
Transit Management;Environmental management systems in mass transit;2023;Sustainable Mass Transit;https://doi.org/10.1016/b978-0-443-15271-9.00011-x
Database Internet and Systems Integration Technologies;Integration of Database and Internet Technologies for Scalable End-to-End E-Commerce Systems; ;Architectural Issues of Web-Enabled Electronic Business;https://doi.org/10.4018/9781591400493.ch006
Database Internet and Systems Integration Technologies;Views; ;Web Information Systems Engineering and Internet Technologies Book Series;https://doi.org/10.1007/0-387-23568-x_6
Database Internet and Systems Integration Technologies;Conclusion; ;Web Information Systems Engineering and Internet Technologies Book Series;https://doi.org/10.1007/0-387-23568-x_8
Database Internet and Systems Integration Technologies;Applications and Systems Integration; ;Internet Computing;https://doi.org/10.1007/978-3-031-61014-1_5
Soil Behavior;THE LAWS OF SOIL COLLOIDAL BEHAVIOR;1931;Soil Science;https://doi.org/10.1097/00010694-193111000-00002
Soil Behavior;Thermal Effects on Soil Behavior;2025;Fundamentals of Soil Behavior;https://doi.org/10.1002/9781119832348.ch12
Soil Behavior;Some Special Features of Soil Behavior;2025;Fundamentals of Soil Behavior;https://doi.org/10.1002/9781119832348.ch11
Soil Behavior;Fundamentals of Soil Behavior;1994;Soil Science;https://doi.org/10.1097/00010694-199407000-00009
Soil Behavior;Soil Behavior at the Microscale: Particle Forces;2003;Soil Behavior and Soft Ground Construction;https://doi.org/10.1061/40659(2003)2
Waste Containment and Remediation Technology;Waste Containment and Remediation;2005; ;https://doi.org/10.1061/9780784407899
Waste Containment and Remediation Technology;Contaminant plumes containment and remediation focus area. Technology summary;1995; ;https://doi.org/10.2172/85587
Waste Containment and Remediation Technology;Development of dry barriers for containment and remediation at waste sites;1994; ;https://doi.org/10.2172/10126152
Waste Containment and Remediation Technology;Potential use of Electrochemical Redox for In Situ Remediation of Benzene;2005;Waste Containment and Remediation;https://doi.org/10.1061/40789(168)38
Waste Containment and Remediation Technology;Prediction of Municipal Solid Waste Landfill Settlement with Leachate Recirculation;2005;Waste Containment and Remediation;https://doi.org/10.1061/40789(168)50
Advanced Soil Mechanics;Soil aggregate plasticity and classification;2013;Advanced Soil Mechanics;https://doi.org/10.1201/b15955-3
Advanced Soil Mechanics;Permeability;2013;Advanced Soil Mechanics;https://doi.org/10.1201/b15955-7
Advanced Soil Mechanics;Advanced Soil Mechanics;2019; ;https://doi.org/10.1201/9781351215183
Advanced Soil Mechanics;Seepage;2013;Advanced Soil Mechanics;https://doi.org/10.1201/b15955-8
Advanced Soil Mechanics;Consolidation;2013;Advanced Soil Mechanics;https://doi.org/10.1201/b15955-9
Advanced Geotechnical Engineering;advanced;2014;Dictionary Geotechnical Engineering/Wörterbuch GeoTechnik;https://doi.org/10.1007/978-3-642-41714-6_10661
Advanced Geotechnical Engineering;FINITE LAYER METHODS IN GEOTECHNICAL ANALYSIS J.C. SMALL and;1991;Advanced Geotechnical Analyses;https://doi.org/10.1201/9781482286656-20
Advanced Geotechnical Engineering;Advanced Geotechnical Analyses;2006; ;https://doi.org/10.4324/9780203975008
Advanced Geotechnical Engineering;Butterworths Advanced Series in Geotechnical Engineering;1985;Earth Reinforcement and Soil Structures;https://doi.org/10.1016/b978-0-408-03549-1.50001-7
Advanced Geotechnical Engineering;Introduction;2013;Advanced Geotechnical Engineering;https://doi.org/10.1201/b15578-4
Strategic Management in the Design and Construction Value Chain;Collaboration and Communication in the Design Chain: A Value-Based Approach;2008;Construction Supply Chain Management Handbook;https://doi.org/10.1201/9781420047462-9
Strategic Management in the Design and Construction Value Chain;Strategic value networks;2017;Strategic Supply Chain Alignment;https://doi.org/10.4324/9781315242262-17
Strategic Management in the Design and Construction Value Chain;Strategic supply chain management Creating shareholder value by aligning supply chain strategy with business strategy;2017;Strategic Supply Chain Alignment;https://doi.org/10.4324/9781315242262-10
Strategic Management in the Design and Construction Value Chain;The Value Chain;2008;Strategic Management;https://doi.org/10.4135/9781446216446.n12
Strategic Management in the Design and Construction Value Chain;Structuring Strategic Design Management: Michael Porter's Value Chain;1998;Design Management Journal (Former Series);https://doi.org/10.1111/j.1948-7169.1998.tb00201.x
The Impact of Globalization on the Built Environment;Notes;2005;Vernacular Modernism;https://doi.org/10.1515/9781503625204-011
The Impact of Globalization on the Built Environment;Vernacular Modernism;2005; ;https://doi.org/10.1515/9781503625204
